text,label
WIN A FREE iPhone 15 Pro! You are our 10000th visitor. Click to claim your prize immediately.,spam
Nigerian prince needs your help moving $15 million. 30% commission for your assistance.,spam
"Cheap Xanax, Adderall, Oxycodone online. Fast shipping, no prescription required.",spam
Get rich quick with crypto! Turn $200 into $20000 in just one week. DM us now.,spam
FINAL NOTICE: Your $2500 cash prize expires in 24 hours. Claim at free-prizes.net,spam
Buy Viagra online! No prescription needed. Discreet shipping worldwide. Order now.,spam
You have an unclaimed tax refund of $3412. Submit your claim now at irs-refund.biz,spam
"Hey, the build is failing on the main branch. Can you take a look when you get a chance?",ham
Your Amazon order #112-4578362 has shipped and will arrive by Thursday.,ham
Team offsite is confirmed for November 18-19. Travel details will be sent next week.,ham
PagerDuty: incident resolved. Duration: 14 minutes. On-call: Carlos.,ham
"Stripe payout of $1,240.00 initiated. Funds arrive in your bank in 2 business days.",ham
Two-factor authentication has been enabled on your GitHub account.,ham
"Hi Sarah, attaching the slides for tomorrow's Q3 planning standup. Let me know if you have questions.",ham
Your free Grammarly trial ends in 3 days. Upgrade now and save 40% — your writing data will be permanently deleted if you don't act.,spam
"We noticed a new sign-in to your account from Chicago, IL. If this was you, no action needed. If not, click here to secure your account immediately.",spam
"Congratulations! You've been pre-approved for our Platinum Rewards card with a $15,000 credit limit and 60,000 welcome bonus points.",spam
Your Spotify subscription renews on December 15 for $9.99. No action needed unless you'd like to manage or cancel your plan.,ham
"New job match: Senior ML Engineer at a high-growth AI startup — 92% profile match. $175K base + equity. View this role.",ham
"Security alert: two-factor authentication was disabled on your account on Nov 12 at 3:44 PM. If this was you, no action needed. Otherwise, secure your account now.",ham
